datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,TX_CURR,3915,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,TPT Candidates,2188,Mocambique
U6Mo4GsQKwT,2021-03-20,ECHO,Sofala,Beira,M. Mascarenha CS,-19.80168,34.89099,TPT Ineligible,175,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,TPT Completed,1380,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,TPT Not Comp,5922,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,Recent Active TB TX,510,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,Recent Pos TB Screen,30,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,Actively on TPT,898,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,TX_CURR,7300,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,TPT Candidates,4482,Mocambique
I2tQnsS7wn6,2021-03-20,ECHO,Sofala,Beira,Manga Nhaconjo PS,-19.7678,34.86969,TPT Ineligible,540,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,TPT Completed,18,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,TPT Not Comp,455,Mocambique
